Company, CIK, Filing form type, Year, Quarter, Filing date, Filelink
Q2 HOLDINGS INC,1410384,8K,2021,Q2,2021-05-01,1410384_8K_2021_0001410384-21-000074.htm
INTRUSION INC,736012,8K,2021,Q2,2021-07-01,736012_8K_2021_0001683168-21-003081.htm
SS&C TECHNOLOGIES HLDGS INC,1402436,10Q,2020,Q4,2020-01-01,1402436_10Q_2021_0001564590-21-024110.htm
ADOBE INC,796343,10Q,2020,Q4,2020-01-01,796343_10Q_2021_0000796343-21-000159.htm
JACK IN THE BOX INC,807882,8K,2021,Q1,2021-02-01,807882_8K_2021_0001157523-21-000160.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,8K,2021,Q2,2021-07-01,1585521_8K_2021_0001193125-21-218004.htm
JAMF HOLDING CORP,1721947,8K,2021,Q2,2021-05-01,1721947_8K_2021_0001558370-21-006819.htm
DYNATRACE INC,1773383,8K,2021,Q2,2021-07-01,1773383_8K_2021_0001773383-21-000068.htm
GSE SYSTEMS INC,944480,10K,2019,Q4,2019-01-01,944480_10K_2020_0001140361-21-012540.htm
SALESFORCE.COM INC,1108524,10Q,2020,Q4,2020-01-01,1108524_10Q_2021_0001108524-21-000055.htm
ZIX CORP,855612,10K,2019,Q4,2019-01-01,855612_10K_2020_0001564590-21-011255.htm
OKTA INC,1660134,8K,2021,Q2,2021-05-01,1660134_8K_2021_0001193125-21-156436.htm
BIO-KEY INTERNATIONAL INC,1019034,10Q,2020,Q4,2020-01-01,1019034_10Q_2021_0001437749-21-026757.htm
EVOLVING SYSTEMS INC,1052054,8K,2021,Q3,2021-10-01,1052054_8K_2021_0001104659-21-126978.htm
SYNCHRONOSS TECHNOLOGIES,1131554,10Q,2020,Q4,2020-01-01,1131554_10Q_2021_0001131554-21-000088.htm
OBLONG INC,746210,10K,2019,Q4,2019-01-01,746210_10K_2020_0000746210-21-000024.htm
JAMF HOLDING CORP,1721947,8K,2021,Q3,2021-09-01,1721947_8K_2021_0001104659-21-117389.htm
SOLARWINDS CORP,1739942,8K,2021,Q2,2021-07-01,1739942_8K_2021_0001739942-21-000118.htm
BILL.COM HOLDINGS INC,1786352,10Q,2020,Q4,2020-01-01,1786352_10Q_2021_0001564590-21-025543.htm
INUVO INC,829323,8K,2020,Q4,2020-01-01,829323_8K_2021_0001654954-21-000643.htm
NEW RELIC INC,1448056,10Q,2019,Q4,2019-01-01,1448056_10Q_2020_0001448056-21-000008.htm
SPS COMMERCE INC,1092699,8K,2021,Q1,2021-02-01,1092699_8K_2021_0001171843-21-000975.htm
SAILPOINT TECHNO HLDG,1627857,10K,2019,Q4,2019-01-01,1627857_10K_2020_0001628280-21-003310.htm
AVAYA HLDGS CORP,1418100,8K,2021,Q1,2021-02-01,1418100_8K_2021_0001418100-21-000008.htm
TAUTACHROME INC,1389067,8K,2021,Q4,2021-12-01,1389067_8K_2021_0001477932-21-009183.htm
BSQUARE CORP,1054721,8K,2021,Q2,2021-06-01,1054721_8K_2021_0001437749-21-014920.htm
PAID INC,1017655,10Q,2020,Q4,2020-01-01,1017655_10Q_2021_0001654954-21-005705.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q2,2021-05-01,1810806_8K_2021_0001810806-21-000096.htm
SPLUNK INC,1353283,10Q,2020,Q4,2020-01-01,1353283_10Q_2021_0001353283-21-000036.htm
PARETEUM CORP,1084384,10Q,2020,Q4,2020-01-01,1084384_10Q_2021_0001628280-21-017682.htm
SPROUT SOCIAL INC,1517375,8K,2021,Q3,2021-08-01,1517375_8K_2021_0001517375-21-000038.htm
ADOBE INC,796343,8K,2021,Q1,2021-04-01,796343_8K_2021_0000796343-21-000106.htm
SMARTSHEET INC,1366561,8K,2021,Q2,2021-06-01,1366561_8K_2021_0001366561-21-000063.htm
JAMF HOLDING CORP,1721947,8K,2021,Q2,2021-07-01,1721947_8K_2021_0001628280-21-013365.htm
IDEANOMICS INC,837852,8K,2021,Q1,2021-04-01,837852_8K_2021_0001104659-21-045232.htm
IDEANOMICS INC,837852,8K,2020,Q4,2020-01-01,837852_8K_2021_0001104659-21-002246.htm
SVMK INC,1739936,10Q,2020,Q4,2020-01-01,1739936_10Q_2021_0001564590-21-041563.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q3,2021-08-01,1131554_8K_2021_0001131554-21-000056.htm
ACI WORLDWIDE INC,935036,8K,2021,Q3,2021-08-01,935036_8K_2021_0000935036-21-000049.htm
UPLAND SOFTWARE INC,1505155,10Q,2020,Q4,2020-01-01,1505155_10Q_2021_0001505155-21-000046.htm
SOLARWINDS CORP,1739942,8K,2021,Q2,2021-06-01,1739942_8K_2021_0001739942-21-000110.htm
PAID INC,1017655,10K,2019,Q4,2019-01-01,1017655_10K_2020_0001654954-21-003649.htm
CADENCE DESIGN SYSTEMS INC,813672,8K,2021,Q1,2021-02-01,813672_8K_2021_0000813672-21-000007.htm
CIPHERLOC CORP,1022505,10Q,2020,Q4,2020-01-01,1022505_10Q_2021_0001493152-21-020128.htm
ZUORA INC,1423774,8K,2021,Q3,2021-08-01,1423774_8K_2021_0001423774-21-000081.htm
FASTLY INC,1517413,10Q,2020,Q4,2020-01-01,1517413_10Q_2021_0001517413-21-000154.htm
PLURALSIGHT INC,1725579,8K,2021,Q1,2021-04-01,1725579_8K_2021_0001193125-21-108960.htm
Q2 HOLDINGS INC,1410384,8K,2021,Q1,2021-04-01,1410384_8K_2021_0001410384-21-000057.htm
MICROSOFT CORP,789019,10K,2020,Q4,2020-01-01,789019_10K_2021_0001564590-21-039151.htm
MONGODB INC,1441816,8K,2021,Q2,2021-06-01,1441816_8K_2021_0001104659-21-087589.htm
MARIN SOFTWARE INC,1389002,8K,2021,Q3,2021-08-01,1389002_8K_2021_0001193125-21-234916.htm
SONIC FOUNDRY INC,1029744,8K,2021,Q4,2021-12-01,1029744_8K_2021_0001437749-21-028229.htm
SYNOPSYS INC,883241,10Q,2020,Q4,2020-01-01,883241_10Q_2021_0000883241-21-000012.htm
DUCK CREEK TECHNOL INC,1160951,10Q,2020,Q4,2020-01-01,1160951_10Q_2021_0001564590-21-036731.htm
WORKDAY INC,1327811,8K,2021,Q1,2021-04-01,1327811_8K_2021_0001104659-21-045553.htm
Q2 HOLDINGS INC,1410384,8K,2021,Q4,2021-11-01,1410384_8K_2021_0001410384-21-000124.htm
CADENCE DESIGN SYSTEMS INC,813672,8K,2021,Q1,2021-04-01,813672_8K_2021_0000813672-21-000015.htm
CHANNELADVISOR CORP,1169652,8K,2021,Q3,2021-09-01,1169652_8K_2021_0001169652-21-000081.htm
ONESPAN INC,1044777,8K,2021,Q2,2021-05-01,1044777_8K_2021_0001387131-21-005854.htm
AWARE INC,1015739,8K,2021,Q1,2021-03-01,1015739_8K_2021_0001193125-21-100297.htm
SEACHANGE INTERNATIONAL INC,1019671,8K,2020,Q4,2020-01-01,1019671_8K_2021_0001193125-21-007770.htm
CERENCE INC,1768267,10Q,2019,Q4,2019-01-01,1768267_10Q_2020_0001564590-21-004629.htm
BIGCOMMERCE HOLDIN INC,1626450,8K,2021,Q4,2021-11-01,1626450_8K_2021_0001193125-21-320132.htm
ASANA INC,1477720,8K,2021,Q1,2021-03-01,1477720_8K_2021_0001477720-21-000004.htm
A10 NETWORKS INC,1580808,8K,2021,Q3,2021-10-01,1580808_8K_2021_0001580808-21-000169.htm
FORTINET INC,1262039,8K,2021,Q3,2021-10-01,1262039_8K_2021_0001262039-21-000024.htm
VEEVA SYSTEMS INC,1393052,8K,2021,Q1,2021-03-01,1393052_8K_2021_0001393052-21-000003.htm
PROS HOLDINGS INC,1392972,8K,2021,Q4,2021-12-01,1392972_8K_2021_0001392972-21-000109.htm
MEDALLIA INC,1540184,10K,2019,Q4,2019-01-01,1540184_10K_2021_0001540184-21-000004.htm
OBLONG INC,746210,8K,2021,Q3,2021-08-01,746210_8K_2021_0000746210-21-000056.htm
PARK CITY GROUP INC,50471,8K,2021,Q3,2021-09-01,50471_8K_2021_0001654954-21-010535.htm
NUTANIX INC,1618732,8K,2021,Q3,2021-09-01,1618732_8K_2021_0001157523-21-001110.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q1,2021-03-01,1467761_8K_2021_0001654954-21-002757.htm
SERVICENOW INC,1373715,8K,2021,Q3,2021-08-01,1373715_8K_2021_0001373715-21-000266.htm
PTC INC,857005,10Q,2020,Q4,2020-01-01,857005_10Q_2021_0001564590-21-040209.htm
CHANNELADVISOR CORP,1169652,8K,2021,Q1,2021-04-01,1169652_8K_2021_0001169652-21-000060.htm
ACI WORLDWIDE INC,935036,8K,2021,Q4,2021-11-01,935036_8K_2021_0000935036-21-000066.htm
TELENAV INC,1474439,8K,2021,Q1,2021-02-01,1474439_8K_2021_0001193125-21-045720.htm
GUIDEWIRE SOFTWARE INC,1528396,10Q,2020,Q4,2020-01-01,1528396_10Q_2021_0001528396-21-000019.htm
SPLUNK INC,1353283,10Q,2020,Q4,2020-01-01,1353283_10Q_2021_0001353283-21-000019.htm
APPFOLIO INC,1433195,10K,2019,Q4,2019-01-01,1433195_10K_2020_0001433195-21-000024.htm
BOX INC,1372612,8K,2021,Q2,2021-07-01,1372612_8K_2021_0001387131-21-007173.htm
MITEK SYSTEMS INC,807863,10K,2020,Q4,2020-01-01,807863_10K_2021_0000807863-21-000098.htm
ISSUER DIRECT CORP,843006,8K,2021,Q4,2021-11-01,843006_8K_2021_0001654954-21-011685.htm
SUMO LOGIC INC,1643269,10Q,2020,Q4,2020-01-01,1643269_10Q_2021_0001643269-21-000041.htm
QUALYS INC,1107843,8K,2021,Q2,2021-05-01,1107843_8K_2021_0001193125-21-151750.htm
PAGERDUTY INC,1568100,10Q,2020,Q4,2020-01-01,1568100_10Q_2021_0001568100-21-000037.htm
MANHATTAN ASSOCIATES INC,1056696,8K,2021,Q2,2021-07-01,1056696_8K_2021_0001564590-21-038310.htm
Q2 HOLDINGS INC,1410384,10Q,2020,Q4,2020-01-01,1410384_10Q_2021_0001410384-21-000071.htm
CLEANSPARK INC,827876,8K,2021,Q3,2021-10-01,827876_8K_2021_0001886086-21-000002.htm
DATTO HOLDING CORP,1724570,10K,2019,Q4,2019-01-01,1724570_10K_2020_0001724570-21-000015.htm
QUALYS INC,1107843,8K,2021,Q1,2021-03-01,1107843_8K_2021_0001193125-21-067996.htm
JAMF HOLDING CORP,1721947,8K,2021,Q3,2021-08-01,1721947_8K_2021_0001628280-21-017726.htm
ANSYS INC,1013462,8K,2021,Q4,2021-11-01,1013462_8K_2021_0001013462-21-000047.htm
CLEANSPARK INC,827876,8K,2021,Q4,2021-12-01,827876_8K_2021_0001663577-21-000672.htm
ADOBE INC,796343,8K,2021,Q4,2021-12-01,796343_8K_2021_0000796343-21-000249.htm
PAYCHEX INC,723531,10Q,2020,Q4,2020-01-01,723531_10Q_2021_0000723531-21-000050.htm
TWILIO INC,1447669,8K,2021,Q3,2021-08-01,1447669_8K_2021_0001193125-21-249124.htm
Q2 HOLDINGS INC,1410384,10Q,2020,Q4,2020-01-01,1410384_10Q_2021_0001410384-21-000106.htm
PROOFPOINT INC,1212458,8K,2021,Q1,2021-04-01,1212458_8K_2021_0001193125-21-130383.htm
ASPEN TECHNOLOGY INC,929940,10Q,2020,Q4,2020-01-01,929940_10Q_2021_0000929940-21-000067.htm
GTY TECHNOLOGY HOLDINGS,1682325,10Q,2020,Q4,2020-01-01,1682325_10Q_2021_0001558370-21-014593.htm
SMARTSHEET INC,1366561,8K,2021,Q3,2021-09-01,1366561_8K_2021_0001366561-21-000110.htm
Q2 HOLDINGS INC,1410384,8K,2021,Q3,2021-09-01,1410384_8K_2021_0001410384-21-000119.htm
PAYCHEX INC,723531,8K,2021,Q4,2021-12-01,723531_8K_2021_0000723531-21-000061.htm
JACK IN THE BOX INC,807882,8K,2021,Q4,2021-11-01,807882_8K_2021_0001157523-21-001444.htm
ACI WORLDWIDE INC,935036,10Q,2020,Q4,2020-01-01,935036_10Q_2021_0000935036-21-000068.htm
BOX INC,1372612,10Q,2020,Q4,2020-01-01,1372612_10Q_2021_0001564590-21-031777.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q1,2021-03-01,929940_8K_2021_0000929940-21-000027.htm
IDEANOMICS INC,837852,8K,2021,Q4,2021-11-01,837852_8K_2021_0001104659-21-139669.htm
AVALARA INC,1348036,8K,2021,Q3,2021-10-01,1348036_8K_2021_0001193125-21-301108.htm
IMAGEWARE SYSTEMS INC,941685,10Q,2020,Q4,2020-01-01,941685_10Q_2021_0001437749-21-026754.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q2,2021-05-01,1167419_8K_2021_0001079973-21-000412.htm
INTRUSION INC,736012,8K,2021,Q3,2021-08-01,736012_8K_2021_0001683168-21-003352.htm
BENEFITFOCUS INC,1576169,8K,2021,Q1,2021-03-01,1576169_8K_2021_0001564590-21-011492.htm
PEGASYSTEMS INC,1013857,8K,2021,Q1,2021-02-01,1013857_8K_2021_0001013857-21-000012.htm
ALARM.COM HOLDINGS INC,1459200,8K,2021,Q4,2021-11-01,1459200_8K_2021_0001459200-21-000034.htm
MICROSOFT CORP,789019,8K,2021,Q2,2021-07-01,789019_8K_2021_0001193125-21-225746.htm
QUALYS INC,1107843,8K,2021,Q4,2021-11-01,1107843_8K_2021_0001193125-21-318465.htm
J2 GLOBAL INC,1084048,10Q,2020,Q4,2020-01-01,1084048_10Q_2021_0001084048-21-000055.htm
ZENDESK INC,1463172,10Q,2020,Q4,2020-01-01,1463172_10Q_2021_0001628280-21-021018.htm
DOMO INC,1505952,8K,2021,Q3,2021-10-01,1505952_8K_2021_0001505952-21-000032.htm
SLACK TECHNOLOGIES INC,1764925,10K,2019,Q4,2019-01-01,1764925_10K_2021_0001764925-21-000050.htm
ALTERYX INC,1689923,10Q,2020,Q4,2020-01-01,1689923_10Q_2021_0001689923-21-000080.htm
PTC INC,857005,10Q,2020,Q4,2020-01-01,857005_10Q_2021_0001564590-21-023320.htm
INTELLINETICS INC,1081745,8K,2021,Q3,2021-10-01,1081745_8K_2021_0001493152-21-024576.htm
TRADE DESK INC,1671933,10Q,2020,Q4,2020-01-01,1671933_10Q_2021_0001564590-21-055245.htm
PARETEUM CORP,1084384,8K,2021,Q3,2021-08-01,1084384_8K_2021_0001628280-21-017681.htm
EVOLVING SYSTEMS INC,1052054,8K,2021,Q4,2021-11-01,1052054_8K_2021_0001104659-21-135657.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q3,2021-08-01,1002517_8K_2021_0001002517-21-000045.htm
PHUNWARE INC,1665300,8K,2021,Q3,2021-09-01,1665300_8K_2021_0001628280-21-018167.htm
BENEFITFOCUS INC,1576169,10K,2020,Q4,2020-01-01,1576169_10K_2020_0001564590-21-011839.htm
FASTLY INC,1517413,8K,2021,Q2,2021-07-01,1517413_8K_2021_0001517413-21-000127.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q3,2021-08-01,1327567_8K_2021_0001193125-21-244832.htm
SNOWFLAKE INC,1640147,10Q,2020,Q4,2020-01-01,1640147_10Q_2021_0001640147-21-000122.htm
TELENAV INC,1474439,10Q,2019,Q4,2019-01-01,1474439_10Q_2020_0001474439-21-000006.htm
FAIR ISAAC CORP,814547,8K,2020,Q4,2020-01-01,814547_8K_2021_0001564590-21-003030.htm
NCINO INC,1566895,8K,2021,Q1,2021-04-01,1566895_8K_2021_0001566895-21-000012.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q2,2021-06-01,877890_8K_2021_0001193125-21-185428.htm
SMARTSHEET INC,1366561,8K,2021,Q4,2021-12-01,1366561_8K_2021_0001366561-21-000129.htm
IVEDA SOLUTIONS INC,1397183,10Q,2020,Q4,2020-01-01,1397183_10Q_2021_0001493152-21-028289.htm
ORACLE CORP,1341439,10Q,2020,Q4,2020-01-01,1341439_10Q_2021_0001564590-21-047772.htm
VEEVA SYSTEMS INC,1393052,8K,2021,Q4,2021-12-01,1393052_8K_2021_0001393052-21-000037.htm
FASTLY INC,1517413,8K,2021,Q1,2021-02-01,1517413_8K_2021_0001517413-21-000006.htm
MEDALLIA INC,1540184,10Q,2020,Q4,2020-01-01,1540184_10Q_2021_0001540184-21-000021.htm
VERITONE INC,1615165,8K,2021,Q1,2021-03-01,1615165_8K_2021_0001564590-21-009953.htm
8X8 INC,1023731,10Q,2020,Q4,2020-01-01,1023731_10Q_2021_0001023731-21-000161.htm
SALESFORCE.COM INC,1108524,10K,2019,Q4,2019-01-01,1108524_10K_2021_0001108524-22-000008.htm
JFROG LTD,1800667,8K,2021,Q1,2021-02-01,1800667_8K_2021_0001193125-21-037932.htm
JAMF HOLDING CORP,1721947,8K,2021,Q2,2021-05-01,1721947_8K_2021_0001104659-21-064540.htm
PARK CITY GROUP INC,50471,10Q,2020,Q4,2020-01-01,50471_10Q_2021_0001654954-21-005915.htm
CADENCE DESIGN SYSTEMS INC,813672,10K,2020,Q4,2020-01-01,813672_10K_2021_0000813672-21-000009.htm
PLURALSIGHT INC,1725579,8K,2021,Q1,2021-03-01,1725579_8K_2021_0001193125-21-073332.htm
DATADOG INC,1561550,10Q,2020,Q4,2020-01-01,1561550_10Q_2021_0001561550-21-000026.htm
NUANCE COMMUNICATIONS INC,1002517,10Q,2019,Q4,2019-01-01,1002517_10Q_2020_0001002517-21-000018.htm
HUBSPOT INC,1404655,10K,2019,Q4,2019-01-01,1404655_10K_2020_0001564590-21-006083.htm
PARETEUM CORP,1084384,10Q,2019,Q4,2019-01-01,1084384_10Q_2020_0001628280-21-016441.htm
ZENDESK INC,1463172,10Q,2020,Q4,2020-01-01,1463172_10Q_2021_0001463172-21-000166.htm
FIREEYE INC,1370880,8K,2021,Q3,2021-09-01,1370880_8K_2021_0001370880-21-000035.htm
REALNETWORKS INC,1046327,8K,2021,Q1,2021-04-01,1046327_8K_2021_0001193125-21-131816.htm
PLURALSIGHT INC,1725579,8K,2021,Q1,2021-03-01,1725579_8K_2021_0001193125-21-065511.htm
CLOUDERA INC,1535379,8K,2021,Q1,2021-03-01,1535379_8K_2021_0001628280-21-004451.htm
FASTLY INC,1517413,8K,2021,Q2,2021-06-01,1517413_8K_2021_0001517413-21-000097.htm
PAYLOCITY HOLDING CORP,1591698,10Q,2020,Q4,2020-01-01,1591698_10Q_2021_0001558370-21-014749.htm
PROS HOLDINGS INC,1392972,10Q,2020,Q4,2020-01-01,1392972_10Q_2021_0001392972-21-000089.htm
FAIR ISAAC CORP,814547,8K,2021,Q4,2021-11-01,814547_8K_2021_0001564590-21-056201.htm
DUCK CREEK TECHNOL INC,1160951,10K,2020,Q4,2020-01-01,1160951_10K_2021_0001564590-21-052973.htm
YEXT INC,1614178,10Q,2020,Q4,2020-01-01,1614178_10Q_2021_0001614178-21-000112.htm
BENEFITFOCUS INC,1576169,8K,2021,Q3,2021-09-01,1576169_8K_2021_0001193125-21-273419.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q3,2021-09-01,1378590_8K_2021_0001437749-21-021965.htm
ASANA INC,1477720,8K,2021,Q2,2021-06-01,1477720_8K_2021_0001477720-21-000025.htm
ZSCALER INC,1713683,10Q,2020,Q4,2020-01-01,1713683_10Q_2021_0001713683-21-000238.htm
ONESPAN INC,1044777,8K,2021,Q1,2021-02-01,1044777_8K_2021_0001558370-21-001469.htm
FAIR ISAAC CORP,814547,8K,2021,Q3,2021-08-01,814547_8K_2021_0001193125-21-251573.htm
INTUIT INC,896878,10Q,2020,Q4,2020-01-01,896878_10Q_2021_0000896878-21-000059.htm
QUMU CORP,892482,8K,2021,Q3,2021-10-01,892482_8K_2021_0000892482-21-000052.htm
VERINT SYSTEMS INC,1166388,10K,2019,Q4,2019-01-01,1166388_10K_2021_0001166388-21-000028.htm
CORNERSTONE ONDEMAND INC,1401680,8K,2021,Q1,2021-02-01,1401680_8K_2021_0001401680-21-000003.htm
EVERBRIDGE INC,1437352,8K,2021,Q1,2021-02-01,1437352_8K_2021_0001564590-21-006670.htm
SVMK INC,1739936,8K,2021,Q3,2021-10-01,1739936_8K_2021_0001193125-21-313506.htm
MAX SOUND CORP,1353499,10Q,2020,Q4,2020-01-01,1353499_10Q_2021_0001477932-21-005928.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,10Q,2020,Q4,2020-01-01,1073349_10Q_2021_0001073349-21-000066.htm
FIVE9 INC,1288847,8K,2021,Q1,2021-02-01,1288847_8K_2021_0001288847-21-000019.htm
SITO MOBILE LTD,1157817,8K,2021,Q3,2021-09-01,1157817_8K_2021_0001213900-21-045981.htm
DROPBOX INC,1467623,10Q,2020,Q4,2020-01-01,1467623_10Q_2021_0001467623-21-000025.htm
XPERI HOLDING CORP,1803696,8K,2021,Q4,2021-11-01,1803696_8K_2021_0001564590-21-055258.htm
SYNOPSYS INC,883241,8K,2021,Q3,2021-09-01,883241_8K_2021_0001193125-21-271490.htm
XPERI HOLDING CORP,1803696,10Q,2020,Q4,2020-01-01,1803696_10Q_2021_0001564590-21-055270.htm
SALESFORCE.COM INC,1108524,8K,2021,Q2,2021-05-01,1108524_8K_2021_0001108524-21-000027.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q2,2021-05-01,1467761_8K_2021_0001654954-21-005741.htm
FORTINET INC,1262039,8K,2021,Q1,2021-04-01,1262039_8K_2021_0001262039-21-000011.htm
ZUORA INC,1423774,8K,2021,Q4,2021-12-01,1423774_8K_2021_0001423774-21-000132.htm
BIGCOMMERCE HOLDIN INC,1626450,8K,2021,Q3,2021-09-01,1626450_8K_2021_0001193125-21-273051.htm
AVALARA INC,1348036,8K,2021,Q1,2021-04-01,1348036_8K_2021_0001193125-21-122848.htm
SPROUT SOCIAL INC,1517375,8K,2021,Q2,2021-05-01,1517375_8K_2021_0001517375-21-000023.htm
TWILIO INC,1447669,8K,2021,Q2,2021-05-01,1447669_8K_2021_0001447669-21-000122.htm
APPIAN CORP,1441683,8K,2021,Q1,2021-02-01,1441683_8K_2021_0001441683-21-000016.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q3,2021-09-01,1786352_8K_2021_0001193125-21-282231.htm
SALESFORCE.COM INC,1108524,8K,2021,Q3,2021-09-01,1108524_8K_2021_0001193125-21-280079.htm
DIGITAL TURBINE INC,317788,8K,2021,Q3,2021-10-01,317788_8K_2021_0001104659-21-122606.htm
MANHATTAN ASSOCIATES INC,1056696,8K,2021,Q3,2021-10-01,1056696_8K_2021_0001564590-21-051988.htm
AGILYSYS INC,78749,8K,2021,Q4,2021-12-01,78749_8K_2021_0001564590-21-060590.htm
AWARE INC,1015739,8K,2021,Q4,2021-12-01,1015739_8K_2021_0001193125-21-364973.htm
SMITH MICRO SOFTWARE INC,948708,8K,2021,Q1,2021-03-01,948708_8K_2021_0001564590-21-013146.htm
ANAPLAN INC,1540755,8K,2021,Q1,2021-02-01,1540755_8K_2021_0001193125-21-055740.htm
QAD INC,1036188,8K,2021,Q1,2021-04-01,1036188_8K_2021_0001437749-21-008426.htm
BOX INC,1372612,8K,2021,Q3,2021-08-01,1372612_8K_2021_0001564590-21-045711.htm
TERADATA CORP,816761,10Q,2020,Q4,2020-01-01,816761_10Q_2021_0000816761-21-000029.htm
SECUREWORKS CORP,1468666,10Q,2020,Q4,2020-01-01,1468666_10Q_2021_0001468666-21-000019.htm
CHANNELADVISOR CORP,1169652,8K,2021,Q1,2021-02-01,1169652_8K_2021_0001169652-21-000006.htm
DOCUSIGN INC,1261333,10Q,2020,Q4,2020-01-01,1261333_10Q_2021_0001261333-21-000163.htm
SONIC FOUNDRY INC,1029744,8K,2021,Q2,2021-05-01,1029744_8K_2021_0001437749-21-012129.htm
PTC INC,857005,8K,2020,Q4,2020-01-01,857005_8K_2021_0001564590-21-001283.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q3,2021-08-01,1167419_8K_2021_0001079973-21-000790.htm
AWARE INC,1015739,8K,2021,Q3,2021-09-01,1015739_8K_2021_0001193125-21-267978.htm
PAYLOCITY HOLDING CORP,1591698,8K,2021,Q4,2021-12-01,1591698_8K_2021_0001591698-21-000013.htm
PROS HOLDINGS INC,1392972,8K,2021,Q4,2021-11-01,1392972_8K_2021_0001392972-21-000098.htm
ZOOMINFO TECHNOLOGIES,1794515,8K,2021,Q3,2021-08-01,1794515_8K_2021_0001794515-21-000256.htm
ACI WORLDWIDE INC,935036,10Q,2020,Q4,2020-01-01,935036_10Q_2021_0000935036-21-000032.htm
MODEL N INC,1118417,8K,2021,Q1,2021-02-01,1118417_8K_2021_0001118417-21-000025.htm
FASTLY INC,1517413,8K,2021,Q3,2021-08-01,1517413_8K_2021_0001517413-21-000149.htm
EBIX INC,814549,8K,2021,Q3,2021-08-01,814549_8K_2021_0001193125-21-239979.htm
PROS HOLDINGS INC,1392972,10K,2020,Q4,2020-01-01,1392972_10K_2020_0001392972-21-000039.htm
DATADOG INC,1561550,10Q,2020,Q4,2020-01-01,1561550_10Q_2021_0001561550-21-000018.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q1,2021-02-01,1590955_8K_2021_0001564590-21-005260.htm
A10 NETWORKS INC,1580808,8K,2021,Q1,2021-02-01,1580808_8K_2021_0001580808-21-000026.htm
8X8 INC,1023731,8K,2021,Q2,2021-05-01,1023731_8K_2021_0001023731-21-000083.htm
BRIDGELINE DIGITAL INC,1378590,10Q,2020,Q4,2020-01-01,1378590_10Q_2021_0001437749-21-012548.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,8K,2021,Q3,2021-08-01,1585521_8K_2021_0001585521-21-000230.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q4,2021-12-01,1810806_8K_2021_0001193125-21-345497.htm
ASURE SOFTWARE INC,884144,8K,2021,Q4,2021-11-01,884144_8K_2021_0000884144-21-000024.htm
PHUNWARE INC,1665300,10Q,2020,Q4,2020-01-01,1665300_10Q_2021_0001628280-21-017003.htm
PHUNWARE INC,1665300,8K,2021,Q3,2021-10-01,1665300_8K_2021_0001628280-21-020703.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q1,2021-03-01,1810806_8K_2021_0001810806-21-000068.htm
CHANNELADVISOR CORP,1169652,8K,2021,Q3,2021-10-01,1169652_8K_2021_0001169652-21-000083.htm
PAGERDUTY INC,1568100,8K,2021,Q4,2021-12-01,1568100_8K_2021_0001568100-21-000044.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q4,2021-12-01,1576914_8K_2021_0001628280-21-025667.htm
CLEANSPARK INC,827876,10Q,2020,Q4,2020-01-01,827876_10Q_2021_0001663577-21-000230.htm
MODEL N INC,1118417,8K,2021,Q2,2021-05-01,1118417_8K_2021_0001118417-21-000099.htm
CERIDIAN HCM HOLDING,1725057,8K,2021,Q3,2021-08-01,1725057_8K_2021_0001564590-21-040834.htm
BOX INC,1372612,8K,2021,Q1,2021-03-01,1372612_8K_2021_0001564590-21-010275.htm
VERITONE INC,1615165,8K,2021,Q1,2021-03-01,1615165_8K_2021_0001564590-21-010948.htm
TYLER TECHNOLOGIES INC,860731,8K,2021,Q1,2021-04-01,860731_8K_2021_0000860731-21-000020.htm
ECOARK HOLDINGS INC,1437491,8K,2021,Q3,2021-08-01,1437491_8K_2021_0001213900-21-045601.htm
ENVESTNET INC,1337619,10Q,2020,Q4,2020-01-01,1337619_10Q_2021_0001628280-21-022327.htm
ZSCALER INC,1713683,10Q,2020,Q4,2020-01-01,1713683_10Q_2021_0001713683-21-000037.htm
OKTA INC,1660134,10Q,2020,Q4,2020-01-01,1660134_10Q_2021_0001660134-21-000026.htm
FIVE9 INC,1288847,8K,2021,Q1,2021-02-01,1288847_8K_2021_0001288847-21-000012.htm
ELASTIC NV,1707753,8K,2021,Q2,2021-07-01,1707753_8K_2021_0001193125-21-207584.htm
